seq,r1,r2,r3,r4,r5,r6
7,15,35,36,1,29,30
8,15,37,35,1,31,29
9,15,37,36,1,31,30
10,15,45,46,1,41,42
11,15,46,45,1,42,41
12,15,16,18,1,2,4
13,15,17,19,1,3,5
14,15,20,21,1,6,7
15,22,38,39,8,32,33
16,22,40,38,8,34,32
17,22,40,39,8,34,33
18,22,47,48,8,43,44
19,22,48,47,8,44,43
20,22,23,25,8,9,11
21,22,24,26,8,10,12
22,22,27,28,8,13,14
